New Training Session, Net Version 50 ,,,
Epoch, iterations, Running Loss, Lowest Running Loss, Mark Number 
0,999,31599.54688,31599.54688,0
1,999,29634.37109,31599.54688,0
2,999,32709.53516,29634.37109,1
3,999,31807.16797,29634.37109,1
4,999,34534.48828,29634.37109,1
5,999,30495.49609,29634.37109,1
6,999,26741.96484,29634.37109,1
7,999,29176.55078,26741.96484,2
8,999,34557.02344,26741.96484,2
9,999,31766.62695,26741.96484,2
10,999,29903.60156,26741.96484,2
11,999,33141.75391,26741.96484,2
12,999,34467.22656,26741.96484,2
13,999,30944.82227,26741.96484,2
14,999,42323.87891,26741.96484,2
15,999,33023.50391,26741.96484,2
16,999,30618.53711,26741.96484,2
17,999,31216.85547,26741.96484,2
18,999,32853.34375,26741.96484,2
19,999,34428.9375,26741.96484,2
20,999,44815.37109,26741.96484,2
21,999,36801.70313,26741.96484,2
22,999,29748.31445,26741.96484,2
23,999,29122.9082,26741.96484,2
24,999,33151.0625,26741.96484,2
25,999,34320.87109,26741.96484,2
26,999,32086.375,26741.96484,2
27,999,29353.66406,26741.96484,2
28,999,33192.45703,26741.96484,2
29,999,32853.53906,26741.96484,2
30,999,27535.77148,26741.96484,2
31,999,36090.94922,26741.96484,2
32,999,24133.67969,26741.96484,2
33,999,30577.75781,24133.67969,3
34,999,28418.08203,24133.67969,3
35,999,30841.0332,24133.67969,3
36,999,37494.63281,24133.67969,3
37,999,33317.85938,24133.67969,3
38,999,31058.93359,24133.67969,3
39,999,30518.74219,24133.67969,3
40,999,27187.67383,24133.67969,3
41,999,27429.63477,24133.67969,3
42,999,36808.31641,24133.67969,3
43,999,31845.00391,24133.67969,3
44,999,32902.5,24133.67969,3
45,999,36422.8125,24133.67969,3
46,999,34307.42188,24133.67969,3
47,999,28767.82227,24133.67969,3
48,999,31724.53125,24133.67969,3
49,999,41955.07813,24133.67969,3
50,999,33251.38672,24133.67969,3
51,999,33825.50391,24133.67969,3
52,999,28805.82617,24133.67969,3
53,999,32969.98047,24133.67969,3
54,999,28053.63672,24133.67969,3
55,999,34708.97266,24133.67969,3
56,999,39944.77344,24133.67969,3
57,999,42030.88281,24133.67969,3
58,999,37426.10547,24133.67969,3
59,999,34775.44922,24133.67969,3
60,999,35755.44922,24133.67969,3
61,999,29804.21094,24133.67969,3
62,999,44486.69531,24133.67969,3
63,999,36678.07031,24133.67969,3
64,999,31040.92969,24133.67969,3
65,999,36358.39844,24133.67969,3
66,999,32316.82617,24133.67969,3
67,999,35754.625,24133.67969,3
68,999,52652.55859,24133.67969,3
69,999,41249.16016,24133.67969,3
70,999,31345.42773,24133.67969,3
71,999,30760.33984,24133.67969,3
72,999,32928.37109,24133.67969,3
73,999,30592.16797,24133.67969,3
74,999,33356.53906,24133.67969,3
75,999,30957.99219,24133.67969,3
76,999,35682.87109,24133.67969,3
77,999,31173.49414,24133.67969,3
78,999,36422.35156,24133.67969,3
79,999,32893.85547,24133.67969,3
80,999,30173.06836,24133.67969,3
81,999,30676.91016,24133.67969,3
82,999,34880.16797,24133.67969,3
83,999,37680.95703,24133.67969,3
84,999,48917.17578,24133.67969,3
85,999,31975.06055,24133.67969,3
86,999,31444.71484,24133.67969,3
87,999,47620.86719,24133.67969,3
88,999,24926.69141,24133.67969,3
89,999,30108.27539,24133.67969,3
90,999,31753.3418,24133.67969,3
91,999,35068.03125,24133.67969,3
92,999,31236.69922,24133.67969,3
93,999,34809.22656,24133.67969,3
94,999,35017.50781,24133.67969,3
95,999,32426.75781,24133.67969,3
96,999,39407.98828,24133.67969,3
97,999,31540.39258,24133.67969,3
98,999,39223.33203,24133.67969,3
99,999,41717.05078,24133.67969,3
100,999,39017.48047,24133.67969,3
101,999,41735.55469,24133.67969,3
102,999,30084.24219,24133.67969,3
103,999,30467.27539,24133.67969,3
104,999,32957.85547,24133.67969,3
105,999,38406.91797,24133.67969,3
106,999,33009.10547,24133.67969,3
107,999,31069.01953,24133.67969,3
108,999,39158.39844,24133.67969,3
109,999,38091.15234,24133.67969,3
110,999,39782.32422,24133.67969,3
111,999,26967.04688,24133.67969,3
112,999,38255.25781,24133.67969,3
113,999,37782.40234,24133.67969,3
114,999,37376.72656,24133.67969,3
115,999,26188.72656,24133.67969,3
116,999,35038.24219,24133.67969,3
117,999,34039.64063,24133.67969,3
118,999,32012.49219,24133.67969,3
119,999,34386.76172,24133.67969,3
120,999,38425.05859,24133.67969,3
121,999,35363.53125,24133.67969,3
122,999,32039.85547,24133.67969,3
123,999,31527.10742,24133.67969,3
124,999,34418.05469,24133.67969,3
125,999,36311.94141,24133.67969,3
126,999,43989.30859,24133.67969,3
127,999,36358.39844,24133.67969,3
128,999,30487.62305,24133.67969,3
129,999,41197.83984,24133.67969,3
130,999,26736.31641,24133.67969,3
131,999,43354.83594,24133.67969,3
132,999,36275.73047,24133.67969,3
133,999,33874.91016,24133.67969,3
134,999,44573.41016,24133.67969,3
135,999,38650.44922,24133.67969,3
136,999,27798.66016,24133.67969,3
137,999,36610.47656,24133.67969,3
138,999,32925.29688,24133.67969,3
139,999,40460.17578,24133.67969,3
140,999,44248.71875,24133.67969,3
141,999,33863.19531,24133.67969,3
142,999,38124.08203,24133.67969,3
143,999,37369.14453,24133.67969,3
144,999,29666.66211,24133.67969,3
145,999,32353.86523,24133.67969,3
146,999,29935.19141,24133.67969,3
147,999,25383.75586,24133.67969,3
148,999,29798.81445,24133.67969,3
149,999,40634.64453,24133.67969,3
150,999,39102.69922,24133.67969,3
151,999,27756.46289,24133.67969,3
152,999,31378.2832,24133.67969,3
153,999,36473.32813,24133.67969,3
154,999,32826.02734,24133.67969,3
155,999,30944.72266,24133.67969,3
156,999,30942.46289,24133.67969,3
157,999,30128.75586,24133.67969,3
158,999,31155.34766,24133.67969,3
159,999,35731.55469,24133.67969,3
160,999,45868.74219,24133.67969,3
161,999,41694.96094,24133.67969,3
162,999,35483.28516,24133.67969,3
163,999,24807.69531,24133.67969,3
164,999,31390.23438,24133.67969,3
165,999,27684.29883,24133.67969,3
166,999,32649.82617,24133.67969,3
167,999,32175.9082,24133.67969,3
168,999,35102.77344,24133.67969,3
169,999,29188.21875,24133.67969,3
170,999,36953.68359,24133.67969,3
171,999,30057.50195,24133.67969,3
172,999,38195.98047,24133.67969,3
173,999,34396.11328,24133.67969,3
174,999,37114.14453,24133.67969,3
175,999,41067.64063,24133.67969,3
176,999,36912.96875,24133.67969,3
177,999,33008.00391,24133.67969,3
178,999,28405.77344,24133.67969,3
179,999,34353.13672,24133.67969,3
180,999,29484.94336,24133.67969,3
181,999,38460.89453,24133.67969,3
182,999,30068.36914,24133.67969,3
183,999,26312.27344,24133.67969,3
184,999,36403.1875,24133.67969,3
185,999,35421.40234,24133.67969,3
186,999,38523.12891,24133.67969,3
187,999,33454.65625,24133.67969,3
188,999,53891.30078,24133.67969,3
189,999,36073.02344,24133.67969,3
190,999,43843.51953,24133.67969,3
191,999,38729.24219,24133.67969,3
192,999,37250.40625,24133.67969,3
193,999,34139.08984,24133.67969,3
194,999,38709.75391,24133.67969,3
195,999,42914.79688,24133.67969,3
196,999,25081.14063,24133.67969,3
197,999,27462.98242,24133.67969,3
198,999,24819.74609,24133.67969,3
199,999,44853.33984,24133.67969,3
200,999,33160.81641,24133.67969,3
201,999,30377.41992,24133.67969,3
202,999,31795.15039,24133.67969,3
203,999,30088.67969,24133.67969,3
204,999,37330.64844,24133.67969,3
205,999,45428.92188,24133.67969,3
206,999,38456.03906,24133.67969,3
207,999,37012.17578,24133.67969,3
208,999,29517.2168,24133.67969,3
209,999,33361.42188,24133.67969,3
210,999,40000.22656,24133.67969,3
211,999,41602.31641,24133.67969,3
212,999,29178.05273,24133.67969,3
213,999,34010.25391,24133.67969,3
214,999,23606.05078,24133.67969,3
215,999,31089.39648,23606.05078,4
216,999,28707.04492,23606.05078,4
217,999,26974.84375,23606.05078,4
218,999,31174.85742,23606.05078,4
219,999,34710.35547,23606.05078,4
220,999,39431.30859,23606.05078,4
221,999,34935.91016,23606.05078,4
222,999,34643.09766,23606.05078,4
223,999,26640.00977,23606.05078,4
224,999,38279.64063,23606.05078,4
225,999,37301.77734,23606.05078,4
226,999,28765.2207,23606.05078,4
227,999,43526.50781,23606.05078,4
228,999,37047.01172,23606.05078,4
229,999,39074.90234,23606.05078,4
230,999,35455.21875,23606.05078,4
231,999,33264.51953,23606.05078,4
232,999,39764.28906,23606.05078,4
233,999,29688.96094,23606.05078,4
234,999,35344.51172,23606.05078,4
235,999,41796.69141,23606.05078,4
236,999,40339.34375,23606.05078,4
237,999,33664.41797,23606.05078,4
238,999,37864.94141,23606.05078,4
239,999,44176.625,23606.05078,4
240,999,36636.60547,23606.05078,4
241,999,46787.38672,23606.05078,4
242,999,33083.81641,23606.05078,4
243,999,36408.99219,23606.05078,4
244,999,40944.56641,23606.05078,4
245,999,35980.97656,23606.05078,4
246,999,35125.75391,23606.05078,4
247,999,40757.86328,23606.05078,4
248,999,25418.19336,23606.05078,4
249,999,38350.50391,23606.05078,4
250,999,33779.38672,23606.05078,4
251,999,49869.76563,23606.05078,4
252,999,41987.19141,23606.05078,4
253,999,40827.625,23606.05078,4
254,999,37640.73828,23606.05078,4
255,999,32986.50781,23606.05078,4
256,999,32853.01563,23606.05078,4
257,999,38752.44922,23606.05078,4
258,999,31296.75586,23606.05078,4
259,999,35298.26172,23606.05078,4
260,999,35731.58203,23606.05078,4
261,999,40213.99609,23606.05078,4
262,999,45759.80469,23606.05078,4
263,999,42154.74609,23606.05078,4
264,999,27960.36914,23606.05078,4
265,999,35504.70313,23606.05078,4
266,999,38616.70313,23606.05078,4
267,999,46619.92969,23606.05078,4
268,999,41647.78516,23606.05078,4
269,999,43013.48047,23606.05078,4
270,999,40234.08984,23606.05078,4
271,999,39609.78516,23606.05078,4
272,999,30135.7793,23606.05078,4
273,999,37499.62891,23606.05078,4
274,999,19767.10547,23606.05078,4
275,999,33821.02734,19767.10547,5
276,999,38526.27344,19767.10547,5
277,999,41726.48828,19767.10547,5
278,999,30280.83203,19767.10547,5
279,999,43094.57031,19767.10547,5
280,999,41144.39844,19767.10547,5
281,999,34712.41016,19767.10547,5
282,999,20582.41992,19767.10547,5
283,999,33667.52344,19767.10547,5
284,999,35611.32031,19767.10547,5
285,999,37510.38281,19767.10547,5
286,999,37444.19531,19767.10547,5
287,999,35634.05469,19767.10547,5
288,999,46392.91016,19767.10547,5
289,999,47381.77734,19767.10547,5
290,999,35113.58594,19767.10547,5
291,999,43937.22266,19767.10547,5
292,999,44082.67578,19767.10547,5
293,999,45269.65625,19767.10547,5
294,999,40538.36328,19767.10547,5
295,999,46554.73828,19767.10547,5
296,999,38691.59375,19767.10547,5
297,999,44028.28516,19767.10547,5
298,999,32018.39453,19767.10547,5
299,999,43443.16406,19767.10547,5
300,999,40009.60156,19767.10547,5
301,999,35474.14453,19767.10547,5
302,999,34640.61719,19767.10547,5
303,999,49871.08984,19767.10547,5
304,999,53697.29688,19767.10547,5
305,999,34363.92578,19767.10547,5
